refinement,rows,nonzeros,repetition,order,cpu_ns,cuda_setup_ns,cuda_h2d_ns,cuda_action_ns,cuda_d2h_ns,cuda_phase_sum_ns,cuda_execution_wall_ns,cuda_verification_ns,cuda_verified_wall_ns,maximum_absolute_error,maximum_scaled_error,host_to_device_bytes,device_to_host_bytes,workspace_bytes
64,4096,20224,0,cpu-first,43867,180818523,86502,3385051,54808,184344884,263944824,30875,263975699,1.33226762955018785e-15,8.88178419700124826e-5,389128,32768,168
64,4096,20224,1,cuda-first,60576,184058105,100410,3103657,43095,187305267,267746260,28696,267774956,1.33226762955018785e-15,8.88178419700124826e-5,389128,32768,168
64,4096,20224,2,cpu-first,33132,186024482,105129,3125510,48026,189303147,271462950,29241,271492191,1.33226762955018785e-15,8.88178419700124826e-5,389128,32768,168
64,4096,20224,3,cuda-first,56738,192706433,90880,2807049,44257,195648619,273102067,28342,273130409,1.33226762955018785e-15,8.88178419700124826e-5,389128,32768,168
64,4096,20224,4,cpu-first,22847,168803176,88161,2653324,41726,171586387,249564039,25275,249589314,1.33226762955018785e-15,8.88178419700124826e-5,389128,32768,168
64,4096,20224,5,cuda-first,53151,161146758,84653,3633753,44309,164909473,239096794,25752,239122546,1.33226762955018785e-15,8.88178419700124826e-5,389128,32768,168
64,4096,20224,6,cpu-first,31747,163161382,83415,2753204,47007,166045008,241270407,27341,241297748,1.33226762955018785e-15,8.88178419700124826e-5,389128,32768,168
64,4096,20224,7,cuda-first,42660,182267782,81804,3229245,40283,185619114,259574103,25400,259599503,1.33226762955018785e-15,8.88178419700124826e-5,389128,32768,168
64,4096,20224,8,cpu-first,22917,165815037,81265,2710320,38705,168645327,243847202,23867,243871069,1.33226762955018785e-15,8.88178419700124826e-5,389128,32768,168
128,16384,81408,0,cpu-first,147288,163839212,239071,2369379,119384,166567046,238229905,96806,238326711,1.11022302462515654e-15,1.11022302462515640e-4,1564680,131072,648
128,16384,81408,1,cuda-first,162445,147802139,239089,2421608,122099,150584935,222496166,92819,222588985,1.11022302462515654e-15,1.11022302462515640e-4,1564680,131072,648
128,16384,81408,2,cpu-first,107787,172236417,593592,4213273,95872,177139154,256422338,115885,256538223,1.11022302462515654e-15,1.11022302462515640e-4,1564680,131072,648
128,16384,81408,3,cuda-first,159737,167067982,238533,2862489,102204,170271208,248806014,89743,248895757,1.11022302462515654e-15,1.11022302462515640e-4,1564680,131072,648
128,16384,81408,4,cpu-first,129922,174262286,274836,3468335,121830,178127287,265514965,103213,265618178,1.11022302462515654e-15,1.11022302462515640e-4,1564680,131072,648
128,16384,81408,5,cuda-first,172360,173387510,248015,2525218,106547,176267290,252801717,91102,252892819,1.11022302462515654e-15,1.11022302462515640e-4,1564680,131072,648
128,16384,81408,6,cpu-first,153624,161350049,232277,2470181,98310,164150817,236783268,90498,236873766,1.11022302462515654e-15,1.11022302462515640e-4,1564680,131072,648
128,16384,81408,7,cuda-first,146401,161287874,228175,2437142,99043,164052234,238640784,87283,238728067,1.11022302462515654e-15,1.11022302462515640e-4,1564680,131072,648
128,16384,81408,8,cpu-first,109179,157973731,224462,2444923,120455,160763571,234727044,91132,234818176,1.11022302462515654e-15,1.11022302462515640e-4,1564680,131072,648
256,65536,326656,0,cpu-first,583977,177369569,935116,3028341,398010,181731036,261368355,378882,261747237,1.11022302462515654e-15,6.66133814775093924e-5,6275080,524288,2560
